# ID_0    tau_v16_0   tau_v50_0   tau_v84_0  Mstar16_0   Mstar50_0   Mstar84_0   SFR16_0   SFR50_0   SFR84_0 
  10056         1.572   1.572   2.287   9.647   9.717   9.727   0.212   0.297   0.322
  10075         4.572   4.572   4.572   9.047   9.057   9.062   0.092   0.102   0.107
  10099         0.872   1.832   3.037   9.807   9.842   9.977   0.422   0.612   0.837
  10246         0.447   0.547   0.547   9.042   9.092   9.092   0.057   0.122   0.127
  1025         1.772   4.587   4.587   9.612   9.632   9.762   0.098   0.078   0.342
  10413         1.527   1.742   4.012   11.160   11.190   11.280   1.707   1.782   1.847
  10465         1.147   1.147   1.147   9.287   9.292   9.297   0.337   0.342   0.347
  10496         1.117   2.057   2.477   10.490   10.520   10.560   0.472   0.577   0.697
  10679         0.432   0.432   0.432   9.677   9.707   9.717   0.777   0.792   0.802
  11058         1.337   1.712   3.037   9.637   9.657   9.702   0.677   0.717   0.837
  11156         0.737   0.737   0.737   9.052   9.062   9.067   0.432   0.447   0.447
  11425         0.422   0.422   0.487   8.952   8.967   8.977   0.067   0.082   0.182
  11618         0.362   0.957   1.672   10.220   10.310   10.340   0.722   1.152   1.337
  11981         2.607   2.607   2.607   10.580   10.580   10.590   0.028   0.023   0.013
  1205         1.047   1.047   1.127   8.807   8.832   8.842   0.147   0.162   0.182
  12216         0.747   1.332   2.297   9.547   9.597   9.642   0.232   0.387   0.442
  12304         0.337   0.337   3.832   9.457   9.517   9.542   0.557   0.592   0.807
  12354         0.492   0.707   2.357   8.927   8.952   8.967   0.207   0.287   0.297
  1256         2.952   2.952   2.952   11.350   11.350   11.360   0.987   0.992   0.997
  12588         0.572   1.112   2.002   9.132   9.217   9.352   0.147   0.172   0.477
  12829         0.682   0.682   0.682   9.537   9.552   9.557   0.127   0.137   0.142
  12997         0.502   0.702   1.132   9.472   9.492   9.512   0.667   0.712   0.737
  13086         1.172   1.942   1.942   8.987   8.997   9.002   0.482   0.487   0.497
  13097         1.532   2.297   3.207   10.340   10.380   10.430   1.212   1.392   1.422
  13249         4.097   4.097   4.097   9.847   9.857   9.862   0.373   0.363   0.358
  13312         0.767   1.782   1.782   9.312   9.372   9.477   0.943   0.258   0.027
  13400         1.587   2.272   2.272   9.487   9.537   9.562   1.007   1.442   1.467
  13601         1.957   1.957   2.657   11.070   11.090   11.120   1.627   1.642   1.992
  13637         1.952   1.952   1.952   10.450   10.450   10.460   0.238   0.233   0.223
  13890         1.002   1.002   1.002   9.282   9.292   9.297   0.033   0.023   0.018
  13903         1.097   1.097   1.097   9.372   9.382   9.392   0.437   0.447   0.457
  13995         0.352   0.637   2.022   8.792   8.892   8.937   0.177   0.417   0.557
  14098         1.597   1.632   1.732   9.477   9.502   9.512   0.682   0.732   0.862
  14099         0.767   1.382   3.267   9.757   9.782   9.802   0.852   0.927   1.122
  14222         0.787   0.827   2.527   9.097   9.157   9.227   0.063   0.058   0.197
  14246         3.747   4.197   4.197   10.410   10.510   10.520   1.692   1.772   1.782
  14288         0.737   0.737   1.192   9.027   9.042   9.227   0.602   0.617   0.837
  143         0.467   0.677   0.887   9.367   9.507   9.587   0.172   0.252   0.327
  14637         1.212   1.867   3.392   10.130   10.190   10.280   0.822   1.032   1.182
  14650         4.037   4.037   4.037   8.952   8.952   8.952   0.093   0.093   0.093
  14773         2.772   2.772   2.772   9.597   9.597   9.597   0.732   0.732   0.732
  14782         0.632   0.642   0.642   9.472   9.487   9.502   0.892   0.937   0.972
  15122         0.942   1.237   1.722   10.100   10.130   10.230   0.767   0.827   0.942
  15154         1.252   1.252   1.252   9.252   9.257   9.267   1.493   1.488   1.478
  15300         0.087   0.402   0.402   8.922   8.942   9.067   0.043   0.013   0.007
  15336         3.362   3.362   3.362   11.140   11.150   11.160   0.457   0.467   0.472
  15585         0.552   0.552   0.927   8.982   9.132   9.142   0.667   0.697   0.702
  15704         1.187   1.187   1.562   9.112   9.117   9.252   0.717   0.862   1.127
  15746         0.002   0.002   0.002   7.002   7.002   7.002   2.998   2.998   2.998
  15753         0.702   0.702   0.782   9.492   9.642   9.652   0.272   0.287   0.447
  15775         2.212   2.337   3.082   10.560   10.580   10.690   1.237   1.337   1.357
  15870         0.542   0.662   0.662   9.472   9.482   9.567   0.722   0.742   0.757
  15924         0.512   1.252   1.777   9.222   9.277   9.497   0.827   1.112   1.282
  15959         0.502   2.312   2.312   9.517   9.537   9.682   0.387   0.752   0.767
  15967         3.192   3.422   3.422   10.330   10.350   10.360   0.022   0.037   0.577
  15988         1.082   1.332   1.767   9.722   9.787   9.812   0.367   0.442   0.657
  15991         0.922   0.922   1.672   8.947   9.087   9.092   0.313   0.178   0.173
  1603         0.662   0.817   0.817   8.997   9.067   9.102   0.622   0.742   0.822
  16048         0.417   1.527   1.802   9.832   9.847   9.962   0.358   0.512   0.527
  16049         3.357   3.772   3.772   10.200   10.210   10.240   1.377   1.387   1.407
  1609         0.677   0.677   0.677   8.992   8.992   9.007   0.182   0.182   0.182
  16123         1.182   1.857   4.142   9.547   9.567   9.597   0.422   0.542   0.732
  16236         0.722   0.732   2.032   9.367   9.427   9.452   0.617   0.852   1.127
  16275         0.277   0.637   1.057   9.097   9.117   9.162   0.297   0.637   0.752
  16336         4.222   4.222   4.222   10.820   10.830   10.830   0.098   0.093   0.088
  16360         4.222   4.222   4.222   10.420   10.430   10.430   0.503   0.493   0.488
  16435         1.852   1.957   2.162   10.720   10.730   10.810   0.977   1.032   1.047
  16440         3.282   3.707   3.722   10.840   10.890   10.910   1.847   1.947   2.092
  16455         0.747   0.747   1.577   10.320   10.350   10.370   1.432   1.452   1.547
  16514         2.262   2.262   2.262   10.680   10.690   10.700   0.607   0.617   0.622
  16697         1.027   1.027   2.067   9.702   9.767   9.792   0.837   0.862   1.152
  16714         1.017   1.167   2.677   9.712   9.757   9.777   0.497   0.547   0.602
  16854         1.597   1.727   3.957   9.642   9.657   9.677   0.722   0.752   0.912
  16871         0.817   0.862   1.302   8.692   8.862   8.872   0.177   0.247   0.362
  16921         1.082   1.312   1.312   9.802   9.877   9.892   1.018   1.003   0.753
  1695         1.042   1.042   1.042   9.122   9.132   9.142   0.652   0.662   0.672
  170         0.587   0.587   0.587   8.312   8.322   8.322   0.107   0.117   0.117
  17026         4.667   5.152   5.152   8.962   9.002   9.017   0.432   0.432   0.522
  17062         1.272   1.272   3.887   9.682   9.692   9.747   1.428   1.418   1.013
  17064         3.552   3.552   3.552   10.410   10.420   10.430   0.668   0.663   0.653
  17098         1.942   1.942   1.942   9.322   9.327   9.332   0.667   0.672   0.677
  17185         1.507   1.507   1.992   9.117   9.122   9.177   0.252   0.402   0.407
  17211         3.452   3.452   4.192   10.760   10.780   10.840   1.472   1.937   1.957
  17214         1.647   2.027   4.047   10.140   10.160   10.250   0.622   0.817   0.867
  17225         0.952   0.952   0.952   9.087   9.107   9.107   0.367   0.382   0.387
  17233         1.777   1.777   1.777   9.192   9.192   9.192   1.197   1.197   1.197
  17245         2.982   3.002   3.347   10.400   10.430   10.560   0.772   1.002   1.087
  17254         0.587   0.617   0.957   9.477   9.567   9.612   0.042   0.062   0.117
  17265         1.187   1.727   4.432   9.782   9.797   9.822   1.027   1.097   1.252
  17376         1.392   1.892   3.422   10.030   10.070   10.110   1.177   1.447   1.517
  17418         0.002   0.002   0.002   7.002   7.002   7.002   2.998   2.998   2.998
  17422         0.417   1.067   1.067   9.062   9.082   9.102   0.717   0.897   0.922
  17433         1.167   1.167   1.167   11.200   11.200   11.210   0.252   0.257   0.262
  17474         0.607   0.937   0.982   9.357   9.382   9.472   0.622   0.677   0.742
  17652         0.372   0.372   0.372   9.432   9.447   9.457   0.967   0.982   0.997
  1772         4.252   4.252   4.252   9.797   9.802   9.807   0.312   0.317   0.322
  17843         1.042   1.587   1.587   9.512   9.522   9.612   0.777   1.037   1.047
  18048         3.547   3.547   3.547   10.680   10.690   10.700   0.363   0.353   0.348
  18130         0.002   0.002   0.002   7.002   7.002   7.002   2.998   2.998   2.998
  18132         1.702   1.922   2.852   10.140   10.180   10.220   0.272   1.167   1.262
  18146         0.697   0.697   5.077   8.917   8.967   8.982   0.152   0.167   0.642
  18160         2.842   3.397   3.777   11.040   11.110   11.150   1.497   1.537   1.747
  1826         1.392   1.392   1.392   8.567   8.587   8.627   0.647   0.667   0.702
  18326         0.772   1.602   3.847   10.440   10.480   10.580   0.637   1.167   1.357
  18375         0.892   0.892   0.892   8.692   8.697   8.707   0.532   0.537   0.547
  18380         1.267   1.267   3.422   9.527   9.537   9.547   0.727   0.742   0.907
  18405         0.282   1.257   1.942   9.017   9.092   9.202   0.043   0.242   0.547
  18413         0.292   1.217   1.217   8.752   8.802   8.897   0.162   0.332   0.357
