# ID dust:Av_16 dust:Av_median dust:Av_84 dblplaw:tau_16 dblplaw:tau_median dblplaw:tau_84 dblplaw:beta_16 dblplaw:beta_median dblplaw:beta_84 dblplaw:metallicity_16 dblplaw:metallicity_median dblplaw:metallicity_84 dblplaw:massformed_16 dblplaw:massformed_median dblplaw:massformed_84 dblplaw:alpha_16 dblplaw:alpha_median dblplaw:alpha_84 redshift_16 redshift_median redshift_84 UVcolour_16 UVcolour_median UVcolour_84 VJcolour_16 VJcolour_median VJcolour_84 tmw_16 tmw_median tmw_84 sfr_16 sfr_median sfr_84 mstar_liv_16 mstar_liv_median mstar_liv_84 z_input global_log_evidence global_log_evidence_err min_chisq_reduced
2.100000000000000000e+01 8.044912592081407965e-01 8.942254576671183619e-01 1.077248954785521073e+00 1.309161349883959602e+00 3.207602451239091490e+00 4.702638188357352256e+00 1.155974726650064593e-01 4.460188566175888880e+00 1.590268936020234207e+02 1.453563980872597083e+00 1.763370234661066460e+00 1.934236468732237979e+00 9.881376581139813098e+00 1.006700968982755207e+01 1.016644137210086107e+01 2.126249416730581140e-02 1.005547199552729171e-01 5.887936662643777908e-01 1.026086164270476164e+00 1.066862492540453289e+00 1.108974872934921807e+00 1.250129106903344445e+00 1.309646882103784549e+00 1.348379021461788119e+00 1.192473115768479364e+00 1.250478046784522235e+00 1.297361654809099596e+00 2.637415911133049740e+00 3.434770398580925477e+00 4.581550442795956357e+00 2.319601116671407226e+00 2.989515857948673361e+00 4.696698697737068606e+00 4.744295989487472534e+09 6.631194284995298386e+09 7.983035359520793915e+09 0.000000000000000000e+00 -1.121876386863679272e+03 1.852470815816960603e-01 7.079032319878070245e-01
2.500000000000000000e+01 1.992731202870827445e-01 2.283221194336393367e-01 2.610397057711761892e-01 5.029206239390857647e-01 1.525477812592985094e+00 2.968915856224385141e+00 2.499570727840991213e-02 1.884356242692605543e-01 1.298950583462402086e+01 1.660875676523280164e+00 1.857743279327948471e+00 1.962202735836590550e+00 1.022989250594989485e+01 1.030573446642631374e+01 1.037259786814867901e+01 1.862868574896195048e-02 6.901406533180196035e-02 3.098213904491661230e-01 1.625970197681836149e+00 1.708374466808736614e+00 1.791225617601650333e+00 7.855418088876342519e-01 8.173672846762549682e-01 8.454360786686905271e-01 7.261151325719130689e-01 7.760049105676571912e-01 8.124932848133390451e-01 1.454707806134414971e+00 1.715138847466766592e+00 2.145940616213926511e+00 4.298337128105536920e+00 5.016741240532207158e+00 5.978982210176262413e+00 9.762042064389984131e+09 1.141998137148420525e+10 1.314909679258518219e+10 0.000000000000000000e+00 -1.132146073994741300e+03 1.980994127731560972e-01 2.164906826758414393e+00
4.000000000000000000e+01 7.690665116239360222e-01 8.986889909072665050e-01 9.707921092231501792e-01 4.832946784076104230e+00 5.069702294000411058e+00 5.208915617931290321e+00 3.566941099731048581e+01 1.352167210240207567e+02 5.107187106086973358e+02 1.531396690662667259e+00 1.787608471842336177e+00 1.940465784511119285e+00 1.010892358435191163e+01 1.019699790841971954e+01 1.032429046137353978e+01 3.368356548671221085e-02 2.782701817340201278e-01 2.850107024264187494e+00 1.080364123196667414e+00 1.103918173737982178e+00 1.121976587100432576e+00 7.471023194492502073e-01 7.850929662128756092e-01 8.425368629053657799e-01 8.505807078226492735e-01 8.976539429406695803e-01 9.524660130344564379e-01 5.020091335738676719e+00 5.168734160550695123e+00 5.271268996761390824e+00 3.455867579858668392e+01 4.911380292576268403e+01 6.070327837136886018e+01 9.429803594027950287e+09 1.120003183927856064e+10 1.425622215510007858e+10 0.000000000000000000e+00 -2.241771464908640894e+02 2.176491835159222732e-01 3.004937616873729400e+00
5.800000000000000000e+01 8.418242579482162480e-01 9.435543395626678764e-01 1.038721317481581918e+00 5.099056790877094514e+00 5.388082108561047079e+00 5.714263823928398267e+00 4.456169982129190998e+01 1.626369881629873930e+02 5.425987438146071327e+02 1.327540816634652066e+00 1.665025413076768768e+00 1.896514237911589351e+00 9.760725352498527130e+00 9.902516247432229690e+00 1.004152412469244382e+01 3.294856555976565654e-02 3.498096964506107187e-01 5.716876070068594551e+00 9.746763208107689369e-01 1.031871161373898893e+00 1.089505682071058246e+00 7.304030380050489102e-01 7.644115383428591315e-01 8.138898390663261706e-01 8.503702401252386522e-01 9.153566569500313221e-01 9.914532493463252827e-01 5.213536525992310544e+00 5.454563373131306570e+00 5.747274812049281145e+00 2.460870354655162373e+01 3.107737124068146883e+01 3.764576543163529720e+01 4.378843140103642464e+09 5.808575653281287193e+09 7.701260411316101074e+09 0.000000000000000000e+00 -6.786636566504123493e+02 2.113592693735566741e-01 2.162315242389984959e+00
7.900000000000000000e+01 1.249658469820419171e+00 1.445972612910306765e+00 1.638978418833109574e+00 4.221719824242444297e+00 4.944096997590327724e+00 5.302047540397794023e+00 1.225839399130749285e+01 7.603719426511673873e+01 4.136525825330200519e+02 1.258479685113286450e+00 1.708767769898974276e+00 1.912526568249999226e+00 1.078048241506526672e+01 1.090346388789974874e+01 1.102932398662939661e+01 2.485436500467949963e-02 1.572410557469490489e-01 1.324062397949094416e+00 1.009565260574134760e+00 1.035335007749849545e+00 1.059720951576847314e+00 1.273913661314125978e+00 1.316361175565376129e+00 1.370900389731182889e+00 1.321268746892521495e+00 1.360673357533290329e+00 1.404172212109711326e+00 4.784581110091892242e+00 5.160701578385744170e+00 5.368400421178626480e+00 6.408242079962982984e+01 1.022567138103519255e+02 1.541979114138879368e+02 4.250141815080007935e+10 5.303607455138810730e+10 6.628996674515206909e+10 0.000000000000000000e+00 -2.219652158435885951e+02 2.044187516920083214e-01 1.746381790262367506e+00
1.430000000000000000e+02 4.596081850755863174e-01 6.210285961533479338e-01 7.589953732668903719e-01 4.229614500983941205e+00 4.870785346001898830e+00 5.213092780163380624e+00 1.396646167420523987e+01 8.075591324769818868e+01 4.140208079572470865e+02 1.315030072903163427e+00 1.657555099491213380e+00 1.886507285476889173e+00 9.438343545347906982e+00 9.568029564116358188e+00 9.700529687362239528e+00 2.687313819397186068e-02 1.887974362588605848e-01 1.896717914741435473e+00 9.909789163727694694e-01 1.051250306877003826e+00 1.096694904252520475e+00 7.154564859867853510e-01 7.734880790284286434e-01 8.411808108528617822e-01 6.937418228488332339e-01 7.427490272850043596e-01 7.936976989018041939e-01 4.787511476348488060e+00 5.111870706336142156e+00 5.310469583246311132e+00 2.822897376112101231e+00 5.041840509414673654e+00 7.495685681319259608e+00 1.938864920440469742e+09 2.455232240643789291e+09 3.115167826974331379e+09 0.000000000000000000e+00 -6.584664158890925592e+02 2.004276226116266657e-01 5.466843084092773974e-01
1.700000000000000000e+02 1.666195788370912478e-01 2.465007895513446068e-01 3.496339257792757116e-01 1.666364162581839281e+00 3.302111946123365005e+00 4.353230548038594883e+00 1.071754677275894796e+00 2.305284843409489781e+01 3.209333545234990197e+02 8.011007784872746784e-01 1.280128705972602088e+00 1.676107604821210240e+00 9.353904020710249512e+00 9.490635788368056325e+00 9.611520853516548613e+00 2.263155547826659758e-02 1.172602510502869094e-01 7.988888667949075595e-01 1.002562814834226490e+00 1.058950188336370779e+00 1.101278820475867226e+00 7.120965991538850126e-01 7.575930806458401889e-01 7.943909789167022950e-01 5.203198515886555686e-01 6.108658009767253816e-01 6.917269349952910318e-01 3.063977653323134209e+00 4.089053196758112740e+00 4.716208349559142476e+00 7.872600277088510623e-01 1.066436847109913266e+00 1.519571576374728616e+00 1.422470943420168877e+09 1.816875576982855082e+09 2.264263217919869900e+09 0.000000000000000000e+00 -1.855344288260260441e+02 1.899386927119176560e-01 9.975558884164044127e-01
1.900000000000000000e+02 3.503870586479251314e-01 5.917760664688139771e-01 8.523149244164777150e-01 2.488649308170887142e+00 4.488430432912078771e+00 5.103217666018619703e+00 1.374451076317717346e+00 3.839005572462658478e+01 3.534548831504278610e+02 3.482795994581339705e-01 6.000223016214941696e-01 9.905559924286182483e-01 9.549000592237085527e+00 9.734049102949782650e+00 9.932683723025666822e+00 2.462942150366202385e-02 1.351025111621218799e-01 1.088809316797220594e+00 9.374656607065442460e-01 1.053477554859365783e+00 1.095240514795538855e+00 8.134966567090313738e-01 8.725843879617229959e-01 9.431501973528826355e-01 5.219995509630893649e-01 5.867032337743083303e-01 7.381179263371562271e-01 3.304309808355154754e+00 4.825447264313569740e+00 5.186704162294955900e+00 1.653978612557643002e+00 3.939268165469476113e+00 8.149465438781595239e+00 2.481585688640205383e+09 3.396864216194314957e+09 4.702403943943748474e+09 0.000000000000000000e+00 3.881485636695786923e+01 1.958551692603643091e-01 1.014178580057974122e+00
2.390000000000000000e+02 5.740015139068867928e-02 1.085973699381209412e-01 1.885260798561719797e-01 1.143294318569659351e+00 2.621912647180466571e+00 3.970340618180735248e+00 1.016680859518237501e-01 4.721444022225799841e+00 1.457719493192919344e+02 6.912363513619178557e-01 9.641181065640279657e-01 1.353358848321152053e+00 9.549176752246253841e+00 9.671590652574355573e+00 9.756305124418430452e+00 2.009283338852402290e-02 8.104599969360568035e-02 4.195258917063359183e-01 1.015451235295777410e+00 1.066775603496853408e+00 1.103120368589959321e+00 6.564414020695430452e-01 6.928220241572304872e-01 7.211170304030758427e-01 4.333459196470549335e-01 5.106133103398722284e-01 5.942088274164056827e-01 2.651361152701374735e+00 3.369892034056480856e+00 4.237212887082335122e+00 9.182654038971196364e-01 1.123423402406932503e+00 1.519997163728169731e+00 2.115966328629354954e+09 2.642132427450385094e+09 3.099616630571885109e+09 0.000000000000000000e+00 -1.850649335290637225e+02 1.949104731788908473e-01 7.903810556445680646e-01
2.670000000000000000e+02 1.726132974143074650e+00 1.867797039333947140e+00 1.999384403368942076e+00 4.822466124306073354e+00 5.110545160012373245e+00 5.324420611418109850e+00 2.378705622094209104e+01 1.125573987721126912e+02 4.956640381710407723e+02 1.209346047972856386e+00 1.693688572880742926e+00 1.910602253980441034e+00 9.975036295242482254e+00 1.006251546900167071e+01 1.015198043900074509e+01 2.942965250447712386e-02 2.193107350028879743e-01 2.510457015627983512e+00 1.031470789130476406e+00 1.056063448442063013e+00 1.084461861453601683e+00 1.398540945332100272e+00 1.436858780523142087e+00 1.476682942188189518e+00 1.547148682438954870e+00 1.598408765261680742e+00 1.647990716599892824e+00 5.072497896745764123e+00 5.259362425932541107e+00 5.407271395500854894e+00 1.817365368577618767e+01 2.420010275956665069e+01 3.114442080832166226e+01 6.769527484247952461e+09 7.983354791249386787e+09 9.370695207870260239e+09 0.000000000000000000e+00 3.356438953893680832e+01 2.085500547042900277e-01 1.812881828169384590e+00
