# Creation date: Wed Apr 11 02:21:40 2018
####################################### 
# PHOTOMETRIC REDSHIFT with OPTIONS   # 
# Config file            : config/candels_ucr.para
# CAT_IN                 : /home/iary/CANDELS_GDSS_workshop.dat
# CAT_OUT                : cand.out
# CAT_LINES              : 0 10000000
# PARA_OUT               : config/output_merson.para
# INP_TYPE               : M
# CAT_FMT[0:MEME 1:MMEE] : 0
# CAT_MAG                : AB
# ZPHOTLIB               : BC03_CANDELS-GS 
# FIR_LIB                : NONE 
# FIR_LMIN               : 7.000000
# FIR_CONT               : -1
# FIR_SCALE              : -1
# FIR_FREESCALE          : YES
# FIR_SUBSTELLAR         : NO
# ERR_SCALE              : 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.020000 0.050000 0.050000 0.050000 0.050000 0.100000 0.100000 0.020000 0.020000 0.020000 
# ERR_FACTOR             : 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 
# BD_SCALE               : 0
# GLB_CONTEXT            : 0
# FORB_CONTEXT           : 0
# CHI2_RM_BD             : 90.000000 2.000000
# Z_RANGE                : 0.000000 99.990000
# EBV_RANGE              : 0.000000 9.000000
# DZ_WIN                 : 0.300000
# MIN_THRES              : 0.020000
# MASS_SCALE             : 0.000000 0.000000
# MAG_ABS                : -24.150000 -10.000000
# MAG_ABS_AGN            : 0.000000 0.000000
# MAG_REF                : 2
# ZFORM (model)          : 0.000000 
# NZ_PRIOR               : -1 -1
# Z_INTERP               : YES
# Z_METHOD               : ML
# PROB_INTZ              : 0.000000 
# MABS_METHOD            : 1
# MABS_CONTEXT           : 134219769 
# MABS_REF               : 11 
# ADAPT_BAND             : 5
# ADAPT_LIM              : 1 26
# ADAPT_CONTEXT          : -1
# ADAPT_ZBIN             : 0.010000 2.000000
# ADAPT_MODBIN           : 1 1000
# ZFIX                   : N
# SPEC_OUT               : NO
# CHI2_OUT               : NO
# PDZ_OUT                : NONE
####################################### 
# Format: 
# IDENT 1 ZSPEC 2 Z_BEST 3 Z_ML 4 Z_ML68_LOW 5 Z_ML68_HIGH 6 EM_FLUX_OII 7 EM_FLUX_HB 8 EM_FLUX_OIIIB 9 EM_EW_OII 10 EM_EW_HB 11 EM_EW_OIIIB 12 CHI_BEST 13 MOD_BEST 14 EXTLAW_BEST 15 EBV_BEST 16 AGE_BEST 17 MASS_MED 18 MASS_INF 19 MASS_SUP 20 SFR_MED 21 SFR_INF 22 SFR_SUP 23 MASS_BEST 24 SFR_BEST 25 MAG_ABS() 26-45 NBAND_USED 46 CONTEXT 47 SCALE_BEST 48
# Format topcat: 
# IDENT  ZSPEC  Z_BEST  Z_ML  Z_ML68_LOW  Z_ML68_HIGH  EM_FLUX_OII  EM_FLUX_HB  EM_FLUX_HA  EM_EW_OII  EM_EW_HB  EM_EW_HA  CHI_BEST  MOD_BEST  EXTLAW_BEST  EBV_BEST  AGE_BEST  MASS_MED  MASS_INF  MASS_SUP  SFR_MED  SFR_INF  SFR_SUP  MASS_BEST  SFR_BEST  MAG_ABS0  MAG_ABS1  MAG_ABS2  MAG_ABS3  MAG_ABS4  MAG_ABS5  MAG_ABS6  MAG_ABS7  MAG_ABS8  MAG_ABS9  MAG_ABS10  MAG_ABS11  MAG_ABS12  MAG_ABS13  MAG_ABS14  MAG_ABS15  MAG_ABS16  MAG_ABS17  MAG_ABS18  MAG_ABS19  NBAND_USED  CONTEXT  SCALE_BEST 
          00449       4.06700      3.8363e+00      3.8982      3.7544      4.0994    1.65869e-17    7.61418e-18    3.08742e-17    1.84705e+02    1.15318e+02    6.68381e+02   1.04332e+01     9     0       0.300   1.278e+08     9.50135     9.25572     9.68843     1.10658     0.90337     1.37638     9.26449   1.539e+00     -20.314     -20.327     -20.596     -21.150     -21.402     -21.442     -21.610     -21.649     -21.280     -21.359     -21.481     -21.283     -21.288     -20.712     -20.321     -20.083     -19.866     -20.180     -21.088     -21.354   12               0   3.07680e+11
          01842       5.04100      5.6088e+00      5.6885      5.5964      5.8111    3.09393e-17    1.42026e-17    5.75893e-17    1.01804e+02    6.26628e+01    3.75716e+02   1.12705e+02     7     1       0.300   1.278e+08     9.96723     9.92178    10.06938     2.39760     2.32722     2.46963    10.17820   2.187e+00     -22.175     -22.187     -23.936     -24.099     -23.310     -23.342     -23.419     -23.450     -23.465     -23.501     -23.570     -23.297     -23.303     -22.649     -22.246     -21.963     -21.686     -22.033     -24.038     -23.499   13               0   4.63693e+12
          02127       4.03300      3.9308e+00      3.9785      3.8376      4.1045    7.30231e-18    2.70211e-18    8.70213e-18    9.35691e+01    4.47637e+01    2.33253e+02   1.86777e+00     8     0       0.100   4.042e+08     9.32757     9.12239     9.49833     0.79124     0.65242     0.91981     9.32353   8.760e-01     -20.370     -20.380     -20.630     -20.708     -20.835     -20.935     -21.016     -21.071     -21.012     -21.047     -21.134     -20.944     -20.953     -20.223     -19.799     -19.435     -19.013     -20.283     -20.683     -21.045   14               0   2.28558e+11
          02428       0.53000      3.0000e-02      0.0200   -999.0000      0.0336    1.13815e-19    1.27278e-19    1.33658e-18    2.24209e-01    6.64122e-02    4.18382e-01   9.04076e+02     9     1       0.500   1.300e+10     7.55000     7.51600     7.58400    -5.60000    -5.66800    -5.53200     7.57072  -5.565e+00      -8.606      -8.594     -10.268     -12.029     -13.265     -13.410     -13.689     -13.634     -13.828     -13.987     -14.070     -13.709     -13.714     -13.298     -12.750     -12.372     -11.758      -8.996     -11.760     -13.980   15               0   9.27624e+07
          03019       2.05400      5.9037e+00      5.9033      5.8867      5.9176    6.77892e-17    3.11185e-17    1.26180e-16    8.83501e+01    5.13337e+01    2.90496e+02   6.92151e+02    11     1       0.300   3.602e+08    10.55007    10.51602    10.58407     3.00000     2.93200     3.06800    10.79967   2.632e+00     -24.100     -24.112     -24.592     -24.701     -24.643     -24.694     -24.820     -24.134     -24.159     -24.235     -24.358     -24.188     -24.195     -23.523     -23.128     -22.789     -22.409     -23.961     -24.725     -24.233   14               0   1.70550e+12
          05012       1.04430      1.0762e+00      1.0799      1.0602      1.1024    2.14728e-16    9.90902e-17    4.04058e-16    7.54525e+01    4.50362e+01    2.73142e+02   3.10981e+01    12     0       0.200   4.042e+08     9.53369     9.49062     9.58123     1.32897     1.24488     1.39709     9.54082   1.359e+00     -20.802     -20.814     -21.160     -21.205     -21.452     -21.499     -21.612     -21.685     -21.691     -21.770     -22.105     -21.873     -21.880     -21.447     -21.026     -20.686     -20.305     -20.673     -21.156     -21.767   11               0   5.83014e+11
          05088       3.02010      9.9661e-01      0.8678      0.8062      0.9902    1.96943e-17    7.14523e-18    2.25312e-17    5.09893e+01    1.75417e+01    7.92809e+01   1.46228e+01     9     1       0.050   2.600e+09     8.89548     8.82937     8.96049    -0.24925    -0.42580    -0.11077     8.90949  -4.191e-01     -18.141     -18.151     -18.508     -18.923     -18.999     -19.029     -19.104     -19.172     -19.176     -19.245     -19.433     -19.226     -19.238     -18.305     -17.901     -17.481     -16.976     -17.962     -18.869     -19.240   16               0   1.97298e+09
          06131       5.06300      5.4707e+00      2.6878      2.5746      5.4563    3.21198e-17    2.31165e-17    1.51567e-16    1.38897e+02    5.61372e+01    2.77760e+02   1.06326e+02     8     0       0.700   9.048e+08    11.16643    11.00937    11.26178     2.27669     2.09571     3.49599    11.06572   2.295e+00     -20.808     -20.823     -21.259     -22.262     -23.497     -23.630     -23.939     -24.155     -24.271     -24.570     -24.774     -24.502     -24.508     -24.025     -23.617     -23.227     -22.767     -20.520     -22.112     -24.557   15               0   6.09887e+12
          06401       1.01800      9.2686e-01      0.9270      0.9092      0.9437    4.39336e-18    2.45059e-18    1.22369e-17    6.93842e+00    1.52585e+00    6.51657e+00   1.89886e+01     2     0       0.300   1.609e+09    10.36649    10.32361    10.40212    -0.19706    -0.26729    -0.12694    10.36761  -1.832e-01     -18.761     -18.764     -19.858     -20.846     -21.404     -21.495     -21.717     -21.933     -22.004     -22.143     -22.513     -22.503     -22.513     -21.799     -21.410     -20.982     -20.438     -18.561     -20.631     -22.134   16               0   4.19926e+10
          07885       0.50800      4.5941e-01      0.4669      0.4457      0.5181    4.63613e-18    2.30972e-18    1.02217e-17    4.35459e+00    9.06048e-01    3.72161e+00   6.19431e+01     2     0       0.200   1.800e+09     9.67850     9.61975     9.78652    -3.62522    -3.74719    -1.49735     9.71520  -1.104e+00     -17.492     -17.493     -18.466     -19.481     -19.961     -20.039     -20.211     -20.367     -20.423     -20.631     -20.746     -20.824     -20.835     -20.359     -19.958     -19.545     -18.998     -17.225     -19.314     -20.625   16               0   9.52462e+09
