#  ID, log_mass_16, log_mass_50, log_mass_84, log_sfr_16, log_sfr_50, log_sfr_84 
# 
20.0000000 9.6695791 9.8242959 10.0721512 -1.5123266 0.4601484 0.9899193
24.0000000 9.0842817 9.6236319 10.0986459 0.1466049 0.8070000 1.3028749
39.0000000 10.0369050 10.2213515 10.4856718 0.8304141 1.5701164 1.7792697
57.0000000 9.8577368 9.9711470 10.3046054 0.8555904 1.2940000 1.5310207
78.0000000 10.6688639 10.8094664 11.0785952 1.2394120 1.9320000 2.1482421
142.0000000 9.2746588 9.4005192 9.6836452 0.0055010 0.5800000 0.9099759
169.0000000 9.0935299 9.2344854 9.3866382 -0.1595813 0.0963089 0.5391266
189.0000000 9.4622207 9.6240000 9.7280776 0.3486177 0.5954155 1.3119946
238.0000000 9.2968981 9.3820000 9.4878902 -0.0979137 0.0505435 0.3544376
266.0000000 9.9148518 10.1400000 10.3481041 0.3436186 1.2186378 1.4242361
273.0000000 9.8759740 9.9772439 10.1199330 0.7230668 1.1358689 1.5470832
299.0000000 9.9450355 10.0798567 10.2485291 -0.7146215 0.9594668 1.4837894
343.0000000 9.2762359 9.3576463 9.5670896 0.3124850 0.5881317 0.9679344
406.0000000 9.4027251 9.5970000 9.6782477 -1.9057600 -1.0300000 0.7758674
481.0000000 10.2279775 10.3953392 10.5200437 0.8846615 1.2591158 1.6539525
498.0000000 10.1036797 10.2295000 10.3355539 -1.9228800 -1.1831353 0.4877831
512.0000000 9.7658865 9.9085302 10.1506415 0.3994044 1.1299293 1.4224353
527.0000000 11.0032657 11.1037235 11.2772985 0.7920401 1.2300000 1.8436260
532.0000000 9.0212213 9.1223055 9.3014854 0.1387748 0.3836897 0.7526844
569.0000000 8.7632582 8.8338350 9.1975770 0.4773585 0.7126892 0.9604148
600.0000000 9.2315200 9.3278246 9.5378721 0.1745687 0.3519954 0.8671200
743.0000000 9.8840628 10.0115943 10.1376093 0.5627296 1.2429261 1.5043072
796.0000000 10.2293562 10.4500000 10.5871027 0.7342196 1.2670000 1.6553284
930.0000000 9.4435162 9.6186053 9.7079956 0.1233934 0.5063361 0.8356264
951.0000000 8.9995931 9.1202301 9.2524800 0.1967882 0.6808550 1.0343600
993.0000000 9.4678384 9.8034600 10.0387163 0.6570407 1.5209051 1.9211686
1024.0000000 9.5689293 9.6838028 9.8699690 0.1323387 0.5878315 1.0189728
1204.0000000 8.8754047 8.9100000 9.1672215 0.2161871 0.3265044 1.2400496
1255.0000000 11.0632846 11.2074560 11.2757714 -0.7861423 0.4709673 1.5501200
1602.0000000 9.0130172 9.0997873 9.4297673 0.4990800 0.8566974 0.9602229
1608.0000000 8.8676500 9.1470000 9.3557135 -0.1458385 0.4420000 0.8619460
1694.0000000 8.9886666 9.1707249 9.3296060 0.2972429 0.5427010 1.6959600
1771.0000000 9.4600983 9.7510000 10.0289600 -0.2032732 0.3186273 1.1750781
1825.0000000 8.6534533 8.9308646 9.0321187 0.4311105 0.7715610 1.3235600
1847.0000000 10.2532005 10.4675858 10.8532800 0.6306824 1.9160593 2.1049664
1850.0000000 10.8058190 10.9453883 10.9755886 -0.3249362 0.2484637 0.8675518
1861.0000000 9.9077547 10.0053786 10.2181850 0.7732800 1.2215707 1.7685506
1871.0000000 9.6560379 9.8465000 9.9105236 -0.8124639 0.2344113 0.6961230
1885.0000000 9.8149146 9.8985000 10.2067308 0.1018366 1.0663259 1.4133180
1917.0000000 9.6880647 10.4506061 10.7189629 1.1612548 1.6298026 2.0080151
2012.0000000 9.6990759 9.8126004 10.0419917 0.7459904 1.1212315 1.4487600
2045.0000000 9.8801086 9.9418710 10.1027693 0.6596288 1.1754060 1.3651170
2067.0000000 8.9422393 9.0800959 9.2885295 -0.0778079 0.1624449 0.5037672
2095.0000000 9.1859341 9.3433225 9.4961306 0.0748824 0.8270000 1.1051089
2099.0000000 9.1648200 9.2481378 9.3492660 0.0688800 0.4531654 0.7845360
2101.0000000 9.3164465 9.3445000 9.5173469 0.0101205 0.3376782 0.7579928
